open_time_ms,close_time_ms,type_of_signal_cat,type_of_signal_num,profit,price_oi_funding,basis,flows,orderbook,cross,calendar,sentiment,breadth,stables,macro,news_score,rr25,iv,overall,open_time,close_time
1755860400000.0,1755863999999.0,1,1.0,0.0019064369037274567,-0.6969208510059876,-0.013731038105600118,0.023526220024672893,1.0,-0.26729285218278587,-0.1368379233622622,-0.3668,-0.24,-0.13999999999999937,1.0,9.0,-0.09368590067620891,0.4354,-0.16073343303440793,2025-08-22 11:00:00+00:00,2025-08-22 11:59:59.999000+00:00
1755864000000.0,1755867599999.0,1,1.0,-0.00019132833054417677,-0.43698910395316476,-0.009509301014595512,-0.2816980671803385,1.0,-0.35229656909501184,-0.30139158171549696,0.5,-0.44,-0.1666666666666631,1.0,3.0,-0.09624691875253799,0.4628,-0.09335569156632903,2025-08-22 12:00:00+00:00,2025-08-22 12:59:59.999000+00:00
1755867600000.0,1755871199999.0,1,1.0,-0.0012961372244451124,-0.4401060315570327,0.018808917942217396,-0.8160414928388249,-0.2824959132588982,-0.41439647039289645,-0.44347294007332005,-0.5,-0.42,-0.1866666666666683,1.0,3.0,-0.09818308893699046,0.5482,-0.33361086665734263,2025-08-22 13:00:00+00:00,2025-08-22 13:59:59.999000+00:00
1755871200000.0,1755874799999.0,1,1.0,-0.029524541036260957,0.6373385452785278,0.004652587620620845,-0.43033210104262054,1.0,-0.48176771637685606,0.08079610364434435,0.5,-0.42,-0.18000000000000238,1.0,5.0,-0.08674039769854014,0.5104,0.2037823678555975,2025-08-22 14:00:00+00:00,2025-08-22 14:59:59.999000+00:00
1755874800000.0,1755878399999.0,1,1.0,-0.004857253680739771,0.6922561485948616,-0.36179742548959415,0.682408172595551,-0.03489898272002012,-0.5509793231820415,0.155575347064106,-0.45199999999999996,0.9,-0.13999999999999937,1.0,12.0,-0.007885241989833813,0.3942,0.3108763486895451,2025-08-22 15:00:00+00:00,2025-08-22 15:59:59.999000+00:00
1755878400000.0,1755881999999.0,1,1.0,0.0019272884294377996,0.8963474445104347,0.19084791456592104,0.4209440062847185,-0.33177736051358053,-0.46330750536002097,0.07153588210148969,-0.47042000000000006,0.94,-0.15333333333333124,1.0,27.0,-0.011706486587202858,0.3605,0.3982298600835726,2025-08-22 16:00:00+00:00,2025-08-22 16:59:59.999000+00:00
1755882000000.0,1755885599999.0,1,1.0,-0.0075552870823119575,0.9297531266825034,0.1713411438413409,-0.30441038258936737,-0.5667103112421628,-0.4452890026120079,0.17864687872035187,0.5438,0.92,-0.13999999999999937,1.0,26.0,-0.012062241869358115,0.3241,0.38698578166439024,2025-08-22 17:00:00+00:00,2025-08-22 17:59:59.999000+00:00
1755885600000.0,1755889199999.0,1,1.0,0.001869189066414582,0.8930811539315133,0.04543314827032375,-0.4233934739930022,-0.04439251986207493,-0.4215960093155616,0.11918029706040034,0.53947,0.92,-0.1466666666666653,1.0,31.0,0.006647807949936524,0.3451,0.3795802314567609,2025-08-22 18:00:00+00:00,2025-08-22 18:59:59.999000+00:00
1755889200000.0,1755892799999.0,1,1.0,0.0012797367789998727,0.24396676120814056,-0.031123570469849017,0.4360746634248389,-0.47128203303850746,-0.4300193018750236,0.21352493795898075,-0.45224,0.92,-0.13999999999999937,1.0,30.0,-0.013985750347277115,0.3067,0.18528830633748297,2025-08-22 19:00:00+00:00,2025-08-22 19:59:59.999000+00:00
1755892800000.0,1755896399999.0,1,1.0,-0.0034019743040615523,-1.0,0.0736802688043719,0.06139547836136328,0.023584626429054012,-0.36678886705522507,0.11443483714502048,0.29985000000000006,0.96,-0.1466666666666653,1.0,12.0,-0.007633826284239031,0.2732,-0.09436519328393858,2025-08-22 20:00:00+00:00,2025-08-22 20:59:59.999000+00:00
