iter	Logloss
0	0.6784590558
1	0.6681493401
2	0.6571500782
3	0.6408131417
4	0.6307355032
5	0.6236002735
6	0.6127573383
7	0.5995911179
8	0.5833051007
9	0.5777543494
10	0.5579283133
11	0.5516858545
12	0.5406127018
13	0.5304929908
14	0.5182507061
15	0.5086699952
16	0.5008499946
17	0.4923829224
18	0.4832182615
19	0.4744420547
20	0.4687765466
21	0.4589975372
22	0.4528576205
23	0.4479236306
24	0.4441297694
25	0.4375007163
26	0.4329322592
27	0.427520895
28	0.4222067448
29	0.4145273125
30	0.4089275018
31	0.4018702093
32	0.3947645359
33	0.3909807279
34	0.3875090956
35	0.3814503331
36	0.3797373753
37	0.373286816
38	0.3683967584
39	0.3651389568
40	0.3611185979
41	0.3554164712
42	0.3513420012
43	0.348658989
44	0.3455371815
45	0.3402238859
46	0.3351198467
47	0.3290801601
48	0.3263189594
49	0.3238686024
50	0.3188626318
51	0.3140850188
52	0.3088890435
53	0.3044941542
54	0.2990029176
55	0.2935292741
56	0.2880506542
57	0.2823198509
58	0.278088627
59	0.2732288797
60	0.2701528894
61	0.2670848412
62	0.2630788835
63	0.2570732268
64	0.253922039
65	0.2468745231
66	0.2435698989
67	0.2388966879
68	0.2370391154
69	0.2342261913
70	0.2318353992
71	0.2304175017
72	0.2271625149
73	0.223114535
74	0.2218086799
75	0.2193277111
76	0.2168222125
77	0.2130133721
78	0.2110944251
79	0.2067437446
80	0.2031733903
81	0.1996674641
82	0.1960194743
83	0.1915832539
84	0.1902582476
85	0.1894142346
86	0.1858741654
87	0.1824204654
88	0.1773396868
89	0.1744164041
90	0.1716649549
91	0.1704647334
92	0.168577479
93	0.1658440376
94	0.1645119061
95	0.1632566812
96	0.1621882691
97	0.1600116722
98	0.1573525991
99	0.1564049255
100	0.1533522963
101	0.1516465014
102	0.1497075737
103	0.1472671065
104	0.1453007463
105	0.1425501391
106	0.1396053929
107	0.1379542495
108	0.1370618934
109	0.1350949174
110	0.1332166606
111	0.1319111573
112	0.1292095216
113	0.1278919169
114	0.1260310897
115	0.1248702137
116	0.1239230679
117	0.1232999354
118	0.1208926813
119	0.1189408605
120	0.1166612313
121	0.1157943976
122	0.1139588164
123	0.1125573558
124	0.1120555649
125	0.1106972072
126	0.1097618738
127	0.107578202
128	0.1057058388
129	0.1033896287
130	0.1030084946
131	0.1008876738
132	0.0996314625
133	0.09807378204
134	0.09643815819
135	0.09458449389
136	0.0932385581
137	0.09193306114
138	0.09051451013
139	0.08844784451
140	0.0873032358
141	0.08595892108
142	0.08496039734
143	0.08318642317
144	0.0819775245
145	0.08083534112
146	0.07971448299
147	0.07863723045
148	0.07778305122
149	0.07721537446
150	0.07635621891
151	0.07503230583
152	0.07427752093
153	0.07302945264
154	0.07217499695
155	0.07140836189
156	0.07067565624
157	0.07043354475
158	0.06947045211
159	0.06879078944
160	0.06744885606
161	0.06678262692
162	0.06616442676
163	0.06496607763
164	0.06417288337
165	0.06360112252
